2020-06-11 09:21:54.925 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590b9d40, dataAddr=0x590ba620 ]
2020-06-11 09:21:54.929 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590be270, dataAddr=0x590c0680 ]
2020-06-11 09:21:54.933 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590c3850, dataAddr=0x590c3db0 ]
2020-06-11 09:21:54.936 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590c93c0, dataAddr=0x590c98b0 ]
2020-06-11 09:21:54.937 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590cd300, dataAddr=0x590cd5c0 ]
2020-06-11 09:21:54.938 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590d0d30, dataAddr=0x590d1060 ]
2020-06-11 09:21:54.940 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590d4690, dataAddr=0x590d4aa0 ]
2020-06-11 09:21:54.941 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590d7fe0, dataAddr=0x590d8540 ]
2020-06-11 09:21:54.942 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590dc2b0, dataAddr=0x590dea50 ]
2020-06-11 09:21:54.943 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590e2700, dataAddr=0x590e3670 ]
2020-06-11 09:21:54.944 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590e5fb0, dataAddr=0x590e8e40 ]
2020-06-11 09:21:54.945 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590e6db0, dataAddr=0x590eb750 ]
2020-06-11 09:21:54.946 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590eed40, dataAddr=0x590efc40 ]
2020-06-11 09:21:54.947 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590f2f00, dataAddr=0x590f39a0 ]
2020-06-11 09:21:54.949 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590f8770, dataAddr=0x590f8e90 ]
2020-06-11 09:21:54.950 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590fc6c0, dataAddr=0x590fdd70 ]
2020-06-11 09:21:54.951 INFO  opencvtest.CardController - 生成目标图片==============Mat [ 32*294*CV_8UC1, isCont=true, isSubmat=false, nativeObj=0x590fd610, dataAddr=0x59100260 ]
